Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Vesicle Coating (GO:0006901),-1.5696189239642648,0.6284624691643046,0.023715415019762844,TRAPPC10;AP3D1;TMED10;TRAPPC2L;TRAPPC6A;CSNK1D;CUL3;TMED2;TRAPPC5,wald_stat,GO_Biological_Process_2023
Regulation Of Epithelial To Mesenchymal Transition (GO:0010717),-1.568953681240273,0.6098844016424531,0.024439918533604887,MAD2L2;SPRY2;PPP2CA;TGFB1;GATA3;GLIPR2;LDLRAD4;EPHA4;SDHAF2;MCRIP1,wald_stat,GO_Biological_Process_2023
SCF-dependent Proteasomal Ubiquitin-Dependent Protein Catabolic Process (GO:0031146),-1.5682473632711076,0.5920897568069249,0.014522821576763486,FBXO44;FBXW7;FBXL12;FBXL18;FBXO31;FBXO9;CUL5;FBXL6;FBXL5,wald_stat,GO_Biological_Process_2023
Positive Regulation Of Ras Protein Signal Transduction (GO:0046579),1.5677052642338956,0.48561281901055925,0.02976190476190476,ARHGEF3;RASGRP1;PIK3CG;AKAP13;ADGRG1;GPR174;MAPRE2;GPR65;F2R;NTRK1,wald_stat,GO_Biological_Process_2023
Intracellular Steroid Hormone Receptor Signaling Pathway (GO:0030518),1.565222189610676,0.4804473500380172,0.01972386587771203,CALCOCO1;DDX5;DDX17;RNF14;DAXX;WBP2;UBR5;UBE3A,wald_stat,GO_Biological_Process_2023
"Nuclear-Transcribed mRNA Catabolic Process, Deadenylation-Dependent Decay (GO:0000288)",1.5613363662141944,0.48063842199341344,0.01338432122370937,CNOT7;PATL2;DCP1B;CNOT3;PARN;PAN2;EXOSC2;TUT7;EXOSC3;EXOSC8,wald_stat,GO_Biological_Process_2023
Peroxisomal Membrane Transport (GO:0015919),1.560274620251376,0.4711639516680787,0.030418250950570342,PEX3;RAB8B;PEX14;PEX19;PEX16;TRIM37;ABCD3;PEX2;PEX1;ABCD4;PEX5;ABCD2,wald_stat,GO_Biological_Process_2023
Response To Tumor Necrosis Factor (GO:0034612),-1.5597510777037622,0.6114704939269179,0.005859375,SLC22A5;INPP5K;XCL1;AKT1;ZC3H12A;GCH1;GATA3;MAP2K7;XCL2;CCL5;CASP3;TNFRSF11A;CCL4,wald_stat,GO_Biological_Process_2023
Protein Heterooligomerization (GO:0051291),-1.559295061931363,0.5941074325490066,0.03829787234042553,TMEM120A;CPSF7;NUDT21;PKD2;CPSF6;HSD17B8;CBR4;ZNF777,wald_stat,GO_Biological_Process_2023
Mismatch Repair (GO:0006298),1.5572449210505799,0.469519996813005,0.03339882121807466,RPA3;PMS2;RPA2;LIG1;MSH3;PMS1;MLH3;RNASEH2A;RPA1;XPC;MSH2;POLD3;MSH6;MLH1;RNASEH2B;MCM8,wald_stat,GO_Biological_Process_2023
