Term,NES,FDR,pval,Lead_genes,metric,gene_set_db
Axon Guidance R-HSA-422475,-1.4161370285449333,0.3710904846452481,0.01361573373676248,LIMK1;NCK2;PKN1;RBM8A;CDC42;MAGOH;NRAS;GIT1;FARP2;IRS2;CSNK2B;MAP2K2;ARHGEF7;RNPS1;CLTB;RHOC;SOS2;PSMF1;PLXNA4;MYO9B;YES1;PSMD6;PSMB6;ELOB;RNMT;NCAM1;PKN2;PRKCA;ZSWIM8;NCBP1;EPHA4;APH1A;ARPC2;PIK3R1;PRKAR2A;UBB;MYL6;PLXNA3;PSME4;CSNK2A2;USP33;TYROBP;LYN;CD72;RSL24D1;TRIO;VAV3;PSMA1;PSME2;PSMB3;EVL;PSME1;PSMD9;COL6A2;PFN1;AP2A1;SHC1;ROBO3;ETF1,wald_stat,Reactome_2022
G Alpha (S) Signaling Events R-HSA-418555,-1.415818315985387,0.3674181920394793,0.05084745762711865,GRK2;PDE4D;GNAS;GNB1;VIPR2;GRK6;ADCY7;GNGT2;PRKCA;PRKAR2A;PTRH2;ADCY9;GNAI2;ARRB1;SHC1;PDE4A,wald_stat,Reactome_2022
Class I Peroxisomal Membrane Protein Import R-HSA-9603798,1.4109489683496816,0.8482840206129527,0.08705357142857142,ACBD5;PEX3;PXMP4;PEX14;PEX19;PEX16;ABCD3;PEX2;ABCD2;ALDH3A2,wald_stat,Reactome_2022
Estrogen-dependent Gene Expression R-HSA-9018519,-1.4098246085611135,0.3777492843025996,0.02247191011235955,H2AJ;CREBBP;H2AX;GATA3;POLR2C;JUND;NCOA1;CTSD;POLR2D;POLR2G;KPNA2;H3-3B;CARM1;AXIN1;TNRC6A;AGO4;H2AZ1;PMEPA1;AGO2;SMC3;CCNT1;POLR2E;CHD1,wald_stat,Reactome_2022
Signaling By ALK Fusions And Activated Point Mutants R-HSA-9725370,1.407227290313439,0.8250769698296905,0.051643192488262914,PRKAR1A;STAT3;GCC2;VCL;PLCG1;STAT5A;STRN;MECP2;CLTC;CARS1;PIK3CA;NPM1;RBX1;PPM1B,wald_stat,Reactome_2022
Miscellaneous Transport And Binding Events R-HSA-5223345,1.4039053839877305,0.8030959457042017,0.0851528384279476,ADD3;LRRC8D;ADD1;NIPA1;BPNT1;MMGT1;NIPA2;SLC66A1;MRS2;ANKH;NIPAL3,wald_stat,Reactome_2022
TGF-beta Receptor Signaling Activates SMADs R-HSA-2173789,1.4031909755209966,0.7714863608410623,0.0593607305936073,UCHL5;TGFBR2;XPO1;PPP1CB;MTMR4;LTBP4,wald_stat,Reactome_2022
Initiation Of Nuclear Envelope (NE) Reformation R-HSA-2995383,1.4014896119441307,0.7471951861435151,0.06823027718550106,KPNB1;LBR;TMPO;VRK1,wald_stat,Reactome_2022
MHC Class II Antigen Presentation R-HSA-2132295,-1.395210461690611,0.41063963191377395,0.057724957555178265,SEC24C;DCTN4;HLA-DRB5;DYNLL2;SEC24B;CTSD;DCTN3;DYNC1LI1;AP1S1;DYNC1LI2;CTSS;CAPZA2;SEC24A;SEC13;KIF22;HLA-DRB1,wald_stat,Reactome_2022
Apoptotic Execution Phase R-HSA-75153,1.393959622090041,0.7528768984899055,0.057208237986270026,SPTAN1;KPNB1;FNTA;H1-2;PRKCQ;H1-3;H1-4;ADD1,wald_stat,Reactome_2022
Interactions Of Rev With Host Cellular Proteins R-HSA-177243,1.3916639724198103,0.7347462226730771,0.06345733041575492,KPNB1;XPO1;NUP62;NUP50;RAN;NUP37;NPM1;NUP58;NUP188;RANBP1;NUP85,wald_stat,Reactome_2022
Regulation Of Expression Of SLITs And ROBOs R-HSA-9010553,-1.3889404844608608,0.42225727511142847,0.045454545454545456,RBM8A;MAGOH;RNPS1;PSMF1;PSMD6;PSMB6;ELOB;ZSWIM8;NCBP1;UBB;PSME4;USP33;RSL24D1;PSMA1;PSME2;PSMB3;PSME1;PSMD9;ROBO3;ETF1;PSMC2;PSMD7;PSMC3,wald_stat,Reactome_2022
Prefoldin Mediated Transfer Of Substrate To CCT/TriC R-HSA-389957,1.3877215567782994,0.7241259970356196,0.07441860465116279,TUBA1A;TCP1;CCT3;CCT6A;PFDN6;CCT8;CCT7;TUBB;CCT4;TUBA1C;CCT2,wald_stat,Reactome_2022
Metabolism Of Cofactors R-HSA-8978934,-1.3876237172111914,0.42076924480054156,0.1111111111111111,AKT1;PTS;GCH1;PDSS1;CALM1,wald_stat,Reactome_2022
Death Receptor Signaling R-HSA-73887,-1.3837106785234266,0.42622104288504503,0.02336448598130841,ARHGDIA;ARHGEF7;PLEKHG2;PREX1;SOS2;FASN;GNA13;BAD;OTULIN;BIRC2;USP4;CASP3;APH1A;UBB;NFKB1;YWHAE;IKBKB;IRAK1;USP25;MADD;TRIO;VAV3;ARHGEF1;NSMAF;RIPK2;ARHGEF10;TRAF1;BIRC3,wald_stat,Reactome_2022
Cooperation Of Prefoldin And TriC/CCT In Actin And Tubulin Folding R-HSA-389958,1.3831792133763243,0.718943605589353,0.06896551724137931,TUBA1A;TCP1;CCT3;CCT6A;PFDN6;CCT8;CCT7;TUBB;CCT4;TUBA1C;CCT2,wald_stat,Reactome_2022
RAF Activation R-HSA-5673000,1.3805394937490862,0.7052577200163902,0.08843537414965986,PPP2R5A;ARAF;PPP2R5D;MAP2K1;PPP1CB;PPP2R5C;YWHAB,wald_stat,Reactome_2022
Nervous System Development R-HSA-9675108,-1.3792890810734257,0.43366901195163426,0.0136986301369863,LIMK1;NCK2;PKN1;RBM8A;CDC42;MAGOH;NRAS;GIT1;FARP2;IRS2;CSNK2B;MAP2K2;ARHGEF7;RNPS1;CLTB;RHOC;SOS2;PSMF1;PLXNA4;MYO9B;YES1;PSMD6;PSMB6;ELOB;RNMT;NCAM1;PKN2;PRKCA;ZSWIM8;NCBP1;EPHA4;APH1A;ARPC2;PIK3R1;PRKAR2A;UBB;MYL6;PLXNA3;PSME4;CSNK2A2;USP33;TYROBP;LYN;CD72;RSL24D1;TRIO;VAV3;PSMA1;PSME2;PSMB3;EVL;PSME1;PSMD9;COL6A2;PFN1;AP2A1;SHC1;ROBO3;ETF1,wald_stat,Reactome_2022
Thrombin Signaling Thru Proteinase Activated Receptors (PARs) R-HSA-456926,-1.379084617626633,0.42934534543653247,0.09803921568627451,GNB1;GNA13;GNGT2;GNAQ;GNA12;ARRB1,wald_stat,Reactome_2022
RHOU GTPase Cycle R-HSA-9013420,-1.375785189896004,0.4338908346643128,0.07944732297063903,NCK2;PKN1;CDC42;GIT1;ARHGEF7;STAM;PKN2;PIK3R1,wald_stat,Reactome_2022
Transport To Golgi And Subsequent Modification R-HSA-948021,-1.3756515379755592,0.4295499249486622,0.028963414634146343,RAB1A;TFG;NAPG;TRAPPC10;STX5;SEC24C;PPP6R1;DCTN4;TRAPPC2L;TRAPPC6A;DYNLL2;SEC24B;CSNK1D;COG3;B4GALT4;DCTN3;MGAT4B;TBC1D20;TMED2;DYNC1LI1;DYNC1LI2;CAPZA2;SEC24A;SEC13;MAN2A2;TRAPPC5,wald_stat,Reactome_2022
DNA Double-Strand Break Repair R-HSA-5693532,1.3717031199830352,0.719843228492841,0.03814713896457766,XRCC5;TDP2;H2BC15;SMARCA5;PRKDC;BAZ1B;RPA3;XRCC6;PPP4C;RFC5;PPP4R2;POLK;RFC4;TDP1;HERC2;MDC1;PARP1;RAD52;KDM4B;RAD17;GEN1;ATRIP;LRIF1;UBC;MRE11;TIMELESS;POLM;RNF8;POLL;RAD51C;H2BC9;TP53;ATM,wald_stat,Reactome_2022
NGF-stimulated Transcription R-HSA-9031628,-1.3708665533302313,0.4376880473865064,0.10200364298724955,EGR1;MEF2D;JUND;ID2,wald_stat,Reactome_2022
Platelet Sensitization By LDL R-HSA-432142,1.3680162373678892,0.7122738531905782,0.1127659574468085,MAPK14;PPP2R5A;PPP2R5D;PPP2R5C,wald_stat,Reactome_2022
Signaling By ERBB4 R-HSA-1236394,-1.3672240385853651,0.4432629505682302,0.09059233449477352,MXD4;ADAP1;NRAS;APH1A;PIK3R1;UBB,wald_stat,Reactome_2022
Integration Of Energy Metabolism R-HSA-163685,-1.3651938699863342,0.44408815191577594,0.08056042031523643,GNAS;GNB1;PPP2CA;SLC2A1;FASN;ADCY7;GNGT2;PPP2CB;PRKCA;GNAQ;PRKAR2A;PRKAG2;TKT;PLCB1;ADCY9;GNAI2;PLCB2,wald_stat,Reactome_2022
RNA Polymerase I Transcription Termination R-HSA-73863,1.3649616126071273,0.7027737895598003,0.09692671394799054,UBTF;TBP;GTF2H1;GTF2H3;POLR1H;GTF2H5;CCNH;POLR1D;TAF1B;POLR1E,wald_stat,Reactome_2022
Neurotransmitter Receptors And Postsynaptic Signal Transmission R-HSA-112314,-1.3629135959735512,0.44569087607306596,0.05546218487394958,NRAS;GIT1;GNB1;ARHGEF7;PRKAG1;ADCY7;GNGT2;KPNA2;PRKCA;PRKAR2A;CALM1;PRKCB;CASK;PRKAG2;PLCB1;ADCY9;GNAI2;PLCB2;AP2A1,wald_stat,Reactome_2022
Intrinsic Pathway For Apoptosis R-HSA-109606,1.3627996411595205,0.6903146664347348,0.05673758865248227,PPP3CC;CYCS;STAT3;APIP;GZMB;GSDMD;YWHAZ;YWHAB;BCL2L1;YWHAH;CDKN2A;AKT3;CARD8;PPP3R1,wald_stat,Reactome_2022
GPCR Downstream Signaling R-HSA-388396,-1.3580715102156182,0.4540274153717121,0.024096385542168676,PKN1;CDC42;XCL1;NRAS;GRK2;AKT1;PDE4D;GNAS;DGKQ;GNB1;ARHGEF7;PLEKHG2;RHOC;VIPR2;PREX1;GRK6;SOS2;PPP2CA;GPR183;GNA13;ADCY7;HEBP1;GNGT2;XCL2;PPP2CB;KPNA2;PRKCA;GNAQ;PIK3R1;PRKAR2A;CCL4;CALM1;PRKCB;RGS16;CCL5;PTRH2;TRIO;VAV3;PLCB1;ARHGEF1;GNA12;ADCY9;LTB4R;RIPK2;GNAI2;ARHGEF10;ARRB1;PLCB2,wald_stat,Reactome_2022
Golgi Associated Vesicle Biogenesis R-HSA-432722,-1.3578104895092524,0.45009088039294853,0.06980802792321117,RAB5C;FTL;FTH1;IGF2R;NECAP1;AP1S1;GAK;AP4B1;TGOLN2;ARRB1;SNX9;AP1G1;AP3B1;DNM2;SH3D19,wald_stat,Reactome_2022
PIWI-interacting RNA (piRNA) Biogenesis R-HSA-5601884,-1.356290136827445,0.4498721884672141,0.11012433392539965,POLR2C;POLR2D;POLR2G;POLR2E;POLR2J;TDRKH,wald_stat,Reactome_2022
Formation Of Early Elongation Complex R-HSA-113418,-1.3561127664483836,0.4457542835102652,0.09899328859060402,ERCC3;POLR2C;POLR2D;POLR2G;NCBP1;MNAT1;POLR2E;CDK7;NELFCD;POLR2J;NELFA,wald_stat,Reactome_2022
Platelet Homeostasis R-HSA-418346,1.353522261758486,0.708695433903549,0.07373271889400922,MAPK14;PPP2R5A;PAFAH2;PPP2R5D;STIM1;ATP2B4;PPP2R5C;ATP2A3;GNG10,wald_stat,Reactome_2022
G-protein Mediated Events R-HSA-112040,-1.3533013068052338,0.4490703507831854,0.09719626168224299,GRK2;ADCY7;KPNA2;PRKCA;GNAQ;PRKAR2A;CALM1;PLCB1;ADCY9;GNAI2;PLCB2;PRKX;ITPR3,wald_stat,Reactome_2022
