Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Reactome_2022	Disinhibition Of SNARE Formation R-HSA-114516	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	STXBP3;PRKCB;PRKCA
Reactome_2022	Drug-mediated Inhibition Of CDK4/CDK6 Activity R-HSA-9754119	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	CCND2;CDK6;CDK4
Reactome_2022	IRF3 Mediated Activation Of Type 1 IFN R-HSA-1606341	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	ZBP1;TBK1;IRF3
Reactome_2022	MET Activates PTPN11 R-HSA-8865999	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	GRB2;PTPN11;SOS1
Reactome_2022	NR1H2 And NR1H3 Regulate Gene Expression To Limit Cholesterol Uptake R-HSA-9031525	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	RXRB;MYLIP;NR1H2
Reactome_2022	PTK6 Expression R-HSA-8849473	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	NR3C1;HIF1A;PELP1
Reactome_2022	Regulation Of HMOX1 Expression And Activity R-HSA-9707587	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	HM13;MAFK;NFE2L2
Reactome_2022	Synthesis Of GDP-mannose R-HSA-446205	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	PMM1;GMPPA;PMM2
Reactome_2022	TFAP2A Acts As A Transcriptional Repressor During Retinoic Acid Induced Cell Differentiation R-HSA-8869496	3/5	2.078799e-01	3.365581e-01	0	0	3.018984e+00	4.742205e+00	NPM1;NOP2;HSPD1
Reactome_2022	Activation Of PPARGC1A (PGC-1alpha) By Phosphorylation R-HSA-2151209	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	PRKAB2;PRKAG1;PRKAG2;MAPK14;PRKAB1
Reactome_2022	CaMK IV-mediated Phosphorylation Of CREB R-HSA-111932	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	CAMK2D;CREB1;CALM1;KPNA2;CAMK2G
Reactome_2022	Caspase Activation Via Dependence Receptors In Absence Of Ligand R-HSA-418889	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	MAGED1;CASP3;DAPK2;DAPK3;APPL1
Reactome_2022	Condensation Of Prometaphase Chromosomes R-HSA-2514853	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	CSNK2A2;CSNK2B;NCAPD2;SMC4;RAB33B
Reactome_2022	Gap Junction Degradation R-HSA-190873	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	CLTC;CLTB;CLTA;AP2M1;DNM2
Reactome_2022	HuR (ELAVL1) Binds And Stabilizes mRNA R-HSA-450520	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	NUP214;SET;XPO1;PRKCD;PRKCA
Reactome_2022	Reactions Specific To Complex N-glycan Synthesis Pathway R-HSA-975578	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	FUT8;MAN2A2;MAN2A1;FUCA1;CHST10
Reactome_2022	STAT5 Activation Downstream Of FLT3 ITD Mutants R-HSA-9702518	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	STAT5A;STAT5B;LONP1;GRB2;PTPN11
Reactome_2022	Signal Attenuation R-HSA-74749	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	SHC1;MAPK1;GRB2;SOS1;MAPK3
Reactome_2022	Synthesis Of Pyrophosphates In Cytosol R-HSA-1855167	5/10	2.103528e-01	3.373879e-01	0	0	2.012811e+00	3.137910e+00	NUDT11;PPIP5K2;ITPK1;NUDT3;NUDT4
Reactome_2022	RAB Geranylgeranylation R-HSA-8873719	24/62	2.138626e-01	3.426979e-01	0	0	1.271750e+00	1.961574e+00	RAB2A;RAB2B;RAB1A;RAB5B;RAB1B;RAB39B;RAB27B;RABGGTB;RABGGTA;RAB22A;RAB11A;RAB33B;RAB21;RAB10;PTP4A2;RAB14;RAB37;RAB35;RAB24;RAB29;RAB6A;RAB5A;RAB8B;RAB7A
Reactome_2022	Insulin Receptor Recycling R-HSA-77387	11/26	2.156242e-01	3.448785e-01	0	0	1.476291e+00	2.264952e+00	ATP6V1A;ATP6V0B;ATP6V0E1;ATP6AP1;ATP6V0A2;ATP6V1B2;TCIRG1;ATP6V1E1;ATP6V0D1;ATP6V1C1;ATP6V1F
Reactome_2022	Interleukin-20 Family Signaling R-HSA-8854691	11/26	2.156242e-01	3.448785e-01	0	0	1.476291e+00	2.264952e+00	STAT5A;STAT5B;STAT1;STAT2;STAT3;STAT4;PTPN11;TYK2;JAK2;JAK3;JAK1
Reactome_2022	Early SARS-CoV-2 Infection Events R-HSA-9772572	15/37	2.171900e-01	3.470603e-01	0	0	1.372693e+00	2.096079e+00	RB1;BECN1;UVRAG;DDX5;VCP;PIK3R4;FURIN;ZCRB1;MAP1LC3B;CHMP2B;CHMP2A;PIK3C3;VHL;CHMP6;CHMP7
Reactome_2022	ABC Transporters In Lipid Homeostasis R-HSA-1369062	8/18	2.194797e-01	3.503939e-01	0	0	1.610374e+00	2.442125e+00	ABCA2;ABCD2;ABCD3;PEX19;ABCA5;PEX3;ABCA7;ABCG1
Reactome_2022	Leishmania Infection R-HSA-9658195	88/247	2.265041e-01	3.612730e-01	0	0	1.115112e+00	1.655933e+00	CYFIP2;AHCYL1;HSP90AB1;WIPF1;WIPF2;ARPC1B;ARPC1A;BRK1;WASL;ACTG1;TXN2;PYCARD;CYSLTR1;PSTPIP1;GNGT2;C3AR1;CASP1;PRKACB;VAV3;ACTR3;ACTR2;SYK;PRKCA;CYBA;VAV1;ADCY9;CREB1;PRKAR1A;PTRH2;ELMO1;TXNIP;ELMO2;MYH9;CRK;PTGER4;PTGER2;GNAI3;WAS;ITPR1;ITPR2;PRKX;ITPR3;FURIN;ADRB2;ADCY7;RELA;GNAI2;CDC42;MAPK8;GNG2;GNG5;PRKAR2B;PRKAR2A;PLCG2;ABL1;DVL2;DVL3;MAPK1;NCKAP1L;FYN;PLCG1;WASF2;MAPK3;GSDMD;LYN;JUN;YES1;PLK2;MYO5A;MYO9B;MAPK14;GNG11;NFKB1;NFKB2;P2RX7;MYO1E;P2RX4;ABI2;ARPC2;ARPC3;GNB2;ABI1;GNB1;GNAS;GRB2;GNB5;CALM1;RAMP1
Reactome_2022	Activation Of NMDA Receptors And Postsynaptic Events R-HSA-442755	28/74	2.322838e-01	3.701485e-01	0	0	1.225677e+00	1.789237e+00	CAMK2D;PRKAA1;PRKAG1;PRKAG2;PRKX;LIN7B;NRGN;NRAS;PRKAR2B;PRKAR2A;MAPK1;KPNA2;HRAS;PRKACB;CAMK2G;GIT1;MAPK3;PRKAB2;PDPK1;CASK;PRKCA;PRKAB1;DLG1;CREB1;PRKAR1A;ARHGEF7;CALM1;LLGL1
Reactome_2022	Homologous DNA Pairing And Strand Exchange R-HSA-5693579	17/43	2.329440e-01	3.708572e-01	0	0	1.316380e+00	1.917909e+00	RFC5;BLM;MRE11;RFC4;TOP3A;HUS1;RAD51B;WRN;RAD50;RAD51D;KAT5;POLR1A;POLR1B;RAD17;TOPBP1;ATRIP;RAD9A
Reactome_2022	NOTCH2 Activation And Transmission Of Signal To Nucleus R-HSA-2979096	9/21	2.356429e-01	3.739806e-01	0	0	1.509727e+00	2.182217e+00	NOTCH2;PSENEN;NCSTN;UBB;UBC;MIB2;PSEN2;ADAM10;MIB1
Reactome_2022	Presynaptic Function Of Kainate Receptors R-HSA-500657	9/21	2.356429e-01	3.739806e-01	0	0	1.509727e+00	2.182217e+00	GNG2;GNGT2;GNG5;GNB2;GNB1;GNB5;PLCB1;GNG11;PLCB2
Reactome_2022	SHC1 Events In ERBB2 Signaling R-HSA-1250196	9/21	2.356429e-01	3.739806e-01	0	0	1.509727e+00	2.182217e+00	NRAS;SHC1;PRKCD;ERBB2;PRKCA;GRB2;PTPN12;SOS1;HRAS
Reactome_2022	Regulation Of Insulin Secretion R-HSA-422356	29/77	2.363085e-01	3.739806e-01	0	0	1.216558e+00	1.755028e+00	AHCYL1;SLC2A1;ITPR1;CACNA1A;ITPR2;ITPR3;AKAP5;IQGAP1;GNAI2;GNGT2;GNG2;GNG5;PRKAR2B;PRKAR2A;PRKACB;SYT5;CACNA2D2;ACSL4;PRKCA;ACSL3;GNG11;PRKAR1A;GNB2;GNB1;GNAS;GNB5;PLCB1;PLCB2;VAMP2
Reactome_2022	Signaling By Insulin Receptor R-HSA-74752	29/77	2.363085e-01	3.739806e-01	0	0	1.216558e+00	1.755028e+00	ATP6V1A;SHC1;PDE3B;PIK3R4;TCIRG1;PIK3R1;NRAS;AKT2;ATP6V0A2;MAPK1;THEM4;ATP6V1E1;HRAS;ATP6V1C1;ATP6V1F;MAPK3;ATP6V0B;ATP6V0E1;ATP6AP1;PDPK1;FRS2;PTPN11;PIK3CA;ATP6V1B2;PIK3C3;TRIB3;GRB2;ATP6V0D1;SOS1
Reactome_2022	Formation Of beta-catenin:TCF Transactivating Complex R-HSA-201722	23/60	2.371185e-01	3.739806e-01	0	0	1.251604e+00	1.801303e+00	H2AX;KMT2D;CREBBP;H2AC6;TRRAP;HDAC1;TCF7;H2BC4;ASH2L;RUNX3;CDC73;SMARCA4;H2BC12;PYGO2;KAT5;RBBP5;H2AC20;RUVBL1;LEO1;EP300;CTNNB1;MEN1;BCL9L
Reactome_2022	Glucagon Signaling In Metabolic Regulation R-HSA-163359	13/32	2.373991e-01	3.739806e-01	0	0	1.377403e+00	1.980723e+00	PRKCA;ADCY7;GNG11;GNG2;ADCY9;GNG5;PRKAR2B;PRKAR1A;PRKAR2A;GNB2;GNB1;GNAS;PRKACB
Reactome_2022	Gluconeogenesis R-HSA-70263	13/32	2.373991e-01	3.739806e-01	0	0	1.377403e+00	1.980723e+00	SLC25A1;SLC37A1;TPI1;MDH2;GOT2;ENO2;ENO3;G6PC3;GNPDA1;PGK1;SLC25A12;SLC25A11;SLC25A13
Reactome_2022	Defects In Cobalamin (B12) Metabolism R-HSA-3296469	6/13	2.379482e-01	3.739806e-01	0	0	1.725268e+00	2.476972e+00	LMBRD1;MTRR;MTR;MMUT;MMADHC;CD320
