donor_id,age_group,assay,bright_cells,dim_cells,total_cells,ratio,bright_percent,dim_percent
SG_HEL_H126,old,10x 5' v2,3,245,248,0.012244897959183673,1.2096774193548387,98.79032258064517
SG_HEL_H127,adult,10x 5' v2,4,414,418,0.00966183574879227,0.9569377990430622,99.04306220095694
SG_HEL_H12a,adult,10x 5' v2,9,210,219,0.04285714285714286,4.10958904109589,95.8904109589041
SG_HEL_H130,old,10x 5' v2,5,241,246,0.02074688796680498,2.0325203252032518,97.96747967479675
SG_HEL_H134,adult,10x 5' v2,0,343,343,0.0,0.0,100.0
SG_HEL_H139,adult,10x 5' v2,5,383,388,0.013054830287206266,1.2886597938144329,98.71134020618557
SG_HEL_H143,old,10x 5' v2,3,226,229,0.01327433628318584,1.3100436681222707,98.68995633187772
SG_HEL_H146,adult,10x 5' v2,3,220,223,0.013636363636363636,1.345291479820628,98.65470852017937
SG_HEL_H152,adult,10x 5' v2,2,303,305,0.006600660066006601,0.6557377049180327,99.34426229508196
SG_HEL_H158,old,10x 5' v2,6,669,675,0.008968609865470852,0.8888888888888888,99.11111111111111
SG_HEL_H166,adult,10x 5' v2,3,325,328,0.009230769230769232,0.9146341463414633,99.08536585365853
SG_HEL_H16a,old,10x 5' v2,8,235,243,0.03404255319148936,3.292181069958848,96.70781893004116
SG_HEL_H176,adult,10x 5' v2,1,218,219,0.0045871559633027525,0.45662100456621,99.54337899543378
SG_HEL_H180,old,10x 5' v2,8,407,415,0.019656019656019656,1.9277108433734942,98.0722891566265
SG_HEL_H185,adult,10x 5' v2,1,408,409,0.0024509803921568627,0.24449877750611246,99.75550122249389
SG_HEL_H188,old,10x 5' v2,5,235,240,0.02127659574468085,2.083333333333333,97.91666666666666
SG_HEL_H189,adult,10x 5' v2,8,279,287,0.02867383512544803,2.7874564459930316,97.21254355400697
SG_HEL_H191,old,10x 5' v2,10,269,279,0.03717472118959108,3.584229390681003,96.415770609319
SG_HEL_H199,old,10x 5' v2,1,255,256,0.00392156862745098,0.390625,99.609375
SG_HEL_H203,adult,10x 5' v2,4,214,218,0.018691588785046728,1.834862385321101,98.1651376146789
SG_HEL_H217,adult,10x 5' v2,4,292,296,0.0136986301369863,1.3513513513513513,98.64864864864865
SG_HEL_H234,adult,10x 5' v2,13,225,238,0.057777777777777775,5.46218487394958,94.53781512605042
SG_HEL_H258,adult,10x 5' v2,2,315,317,0.006349206349206349,0.6309148264984227,99.36908517350159
SG_HEL_H261,adult,10x 5' v2,5,216,221,0.023148148148148147,2.262443438914027,97.73755656108597
SG_HEL_H270,adult,10x 5' v2,3,204,207,0.014705882352941176,1.4492753623188406,98.55072463768117
SG_HEL_H273,adult,10x 5' v2,6,460,466,0.013043478260869565,1.2875536480686696,98.71244635193133
SG_HEL_H274,adult,10x 5' v2,1,318,319,0.0031446540880503146,0.3134796238244514,99.68652037617555
